country,year,labour_participation_rate,birth_rate,fertility_rate,mean_age_bearing,housing_value,total_deaths,death_rate,life_expectancy,total_pop,male_pop,female_pop,pop_density,median_age,pop_growth_rate,gender_wage_gap_perc,average_wage_rate,internet_access_perc,education_rate,crude_marriage_rate,crude_divorce_rate,suicide_rate,time
Denmark,2010,63.97276707,63,1.86,30.6,90.67297668,54,9.8,79.2,5551,2752,2799,130.9,39.6,0.46,8.895098479,56776.1762,86.0984,33.002644,5.6,2.6,10.1,5
Denmark,2011,63.34835215,59,1.76,30.7,89.12222281,53,9.5,79.8,5576,2765,2811,131.5,39.7,0.44,7.947197254,56477.18035,90.0828,33.662952,4.9,2.6,10.5,6
Denmark,2012,61.00557281,58,1.73,30.8,86.74696687,52,9.4,80.1,5601,2778,2823,132.1,39.9,0.45,6.999844876,56392.86456,91.9976,34.639698,5.1,2.8,11.6,7
Denmark,2013,58.1290489,56,1.66,30.8,90.09772524,53,9.4,80.3,5625,2791,2834,132.7,40.2,0.42,6.768911945,56786.74813,92.7135,35.204632,4.9,3.4,10.6,8
Denmark,2014,58.27167535,57,1.69,30.9,93.49873375,52,9.1,80.6,5651,2805,2846,133.3,40.4,0.47,6.323865695,57870.4064,93.1202,35.667145,5.0,3.4,11.0,9
Denmark,2015,58.42090825,58,1.72,31.0,100.0,53,9.3,80.7,5678,2819,2859,133.9,40.6,0.48,5.836048113,58890.23365,91.74,36.565422,5.1,2.9,9.7,10
Denmark,2016,59.55225932,61,1.78,31.0,104.7265118,53,9.3,80.9,5707,2835,2872,134.6,40.8,0.54,5.732628038,58879.14127,94.3436,37.766045,5.4,3.0,9.9,11
Denmark,2017,60.39753379,60,1.75,31.1,109.3777734,53,9.3,81.1,5737,2851,2886,135.3,40.9,0.53,5.296691966,59219.7467,97.0007,38.889214,5.5,2.6,9.8,12
Denmark,2018,60.03860932,60,1.73,31.2,114.5287863,55,9.6,81.0,5767,2866,2900,136.0,41.1,0.5,4.86320601,59730.57655,92.6641,39.44791,5.6,2.6,9.7,13
Denmark,2005,62.57790897,65,1.8,30.2,82.97095743,55,10.1,78.2,5436,2691,2745,128.2,38.5,0.39,10.16733044,52618.29495,74.9174,33.544121,6.7,2.8,11.8,0
Denmark,2006,63.01097666,65,1.84,30.3,102.9257573,56,10.2,78.2,5458,2702,2755,128.7,38.8,0.4,10.17206126,53504.7617,78.7298,34.719662,6.7,2.6,12.0,1
Denmark,2007,60.86068596,64,1.85,30.4,105.6767642,56,10.2,78.3,5480,2714,2766,129.3,39.0,0.4,9.850297951,54101.2627,78.0544,30.903458,6.7,2.6,10.6,2
Denmark,2008,57.26444378,65,1.88,30.4,100.2002505,55,10.0,78.7,5503,2726,2776,129.8,39.2,0.44,10.18354903,54817.45942,81.8811,31.126369,6.8,2.7,11.0,3
Denmark,2009,57.0518659,63,1.84,30.5,88.19722049,55,10.0,79.0,5526,2739,2788,130.4,39.4,0.42,10.17200506,56145.47174,82.534,32.001427,6.0,2.7,11.2,4
Denmark,2010,58.64265681,63,1.86,30.6,90.67297668,54,9.8,79.2,5551,2752,2799,130.9,39.6,0.46,8.895098479,56776.1762,86.0984,33.002644,5.6,2.6,10.1,5
